name_gpu,num_gpu,ssd,bert_base_squad,bert_large_squad,gnmt,maskrcnn,ncf,resnet50,tacotron2,transformerxlbase,transformerxllarge,waveglow
V100 32GB,1,192,72,24,616,20,5678184,596,220,40,16,30
RTX 8000,1,288,108,36,968,36,10854552,928,336,72,32,52
RTX 6000,1,140,52,16,464,16,4278184,448,160,24,8,20
RTX 5000,1,88,32,8,260,10,2800000,288,100,12,0,10
Titan RTX,1,140,52,16,464,16,4278184,448,160,24,8,20
RTX 2080Ti,1,56,20,4,160,6,1440000,184,72,5,0,4
GTX 1080Ti,1,56,20,4,160,6,1440000,184,72,5,0,4
RTX 2080 SUPER MAX-Q,1,32,12,0,92,4,24000,112,48,0,0,0
RTX 2080 MAX-Q,1,32,12,0,92,4,24000,112,48,0,0,0
RTX 2070 MAX-Q,1,32,12,0,92,4,24000,112,48,0,0,0
RTX 3080,1,56,20,4,112,4,1000000,136,56,4,0,4
RTX 3090,1,140,52,16,464,16,4278184,448,80,24,8,12
A100 40GB PCIe,1,224,88,32,800,24,7500000,768,128,52,24,24
A100 40GB SXM4,1,224,88,32,760,24,7500000,768,128,52,24,24
2x RTX 2080Ti NVLink,2,112,40,4,320,12,2800000,368,144,10,2,8
2x RTX 2080Ti,2,112,40,4,320,12,2800000,368,144,10,2,8
4x RTX 2080Ti NVLink,4,224,80,8,640,24,5600000,736,288,20,4,16
4x RTX 2080Ti,4,224,80,8,640,24,5600000,736,288,20,4,16
8x RTX 2080Ti NVLink,8,448,160,16,1280,48,11200000,1472,576,40,8,32
8x RTX 2080Ti,8,448,160,16,1280,48,11200000,1472,576,40,8,32
2x RTX 8000 NVLink,2,512,216,72,1936,64,20000000,1856,592,128,64,104
2x RTX 8000,2,512,216,72,1936,64,20000000,1856,592,128,64,104
4x RTX 8000 NVLink,4,1024,432,144,3872,128,40000000,3456,1184,256,128,208
4x RTX 8000,4,1024,432,144,3872,128,40000000,3456,1184,256,128,208
8x RTX 8000 NVLink,8,2048,864,288,7744,256,80000000,7424,2368,512,256,416
8x RTX 8000,8,2048,864,288,7744,256,80000000,7424,2368,512,256,416
2x V100 32GB,2,384,144,48,1232,40,11278184,1192,440,80,32,60
4x V100 32GB,4,768,288,96,2464,80,22278184,2384,880,160,64,120
8x V100 32GB,8,1536,576,192,4928,160,44278184,4768,1760,320,128,240
Lambda Cloud — 4x GTX 1080Ti,4,224,80,16,640,24,5600000,736,288,20,4,16
Lambda Cloud — 2x RTX 6000,2,280,104,32,928,32,8478184,896,320,48,16,40
Lambda Cloud — 4x RTX 6000,4,560,208,64,1856,64,16478184,1792,640,96,32,80
Lambda Cloud — 8x V100 16GB,8,704,256,64,2080,72,22400000,2048,800,96,16,80
Linode Cloud — 2x RTX 6000,2,280,104,32,928,32,8478184,896,320,48,16,40
p3.16xlarge,8,704,256,64,2080,72,22400000,2048,800,96,16,80
p3.8xlarge,4,352,128,32,1040,32,11200000,1192,400,48,8,40
2x RTX 3080,2,112,40,8,224,12,2400000,272,112,8,0,8
2x RTX 3090,2,280,104,32,928,32,8478184,896,160,48,16,24
3x RTX 3090,3,420,156,48,1392,48,14400000,1344,240,72,24,36
2x A100 40GB PCIe,2,448,176,64,1600,48,15000000,1440,256,104,48,48
4x A100 40GB PCIe,4,896,352,128,3200,96,32000000,2880,512,208,96,96
8x A100 40GB PCIe,8,1792,704,256,6400,200,60000000,5760,1024,416,192,192
2x A100 40GB SXM4,2,448,176,64,1520,48,15000000,1440,256,104,48,48
4x A100 40GB SXM4,4,896,352,128,3040,96,32000000,2880,512,208,96,96
8x A100 40GB SXM4,8,1792,704,256,6080,200,60000000,5760,1024,416,192,192
8x RTX A6000,8,2048,864,288,7744,256,80000000,7424,1184,512,256,256
4x RTX A6000,4,1024,432,144,3872,128,40000000,3712,592,256,128,128
2x RTX A6000,2,512,216,72,1936,64,20000000,1856,296,128,64,64
RTX A6000,1,256,108,36,968,32,10000000,912,148,64,32,32
p4d.24xlarge,8,1792,704,256,6080,200,60000000,5760,1024,416,192,192
