name_gpu,num_gpu,watt,price,ssd,bert_base_squad,bert_large_squad,gnmt,resnet50,tacotron2,waveglow
Quadro RTX 8000,1,260,6037.5,81,41,12,21616,274,17717,44068
LambdaCloud V100 16GB,1,300,9937.5,104,42,12,24109,369,12502,47394
RTX 3090,1,350,2750,144,85,24,44869,513,25350,97404
LambdaCloud A10,1,150,3125,98,70,19,37527,349,16757,79965
LambdaCloud A100 40GB PCIe,1,250,10437.5,256,179,53,101476,882,37999,194634
A100 80GB PCIe,1,300,13287.5,288,224,70,120980,1014,58992,225014
A100 80GB SXM4,1,400,16250,304,239,75,129911,1066,55464,231379
RTX 6000 Ada,1,300,7680,196,136,44,80854,647,31837,157877
RTX A6000,1,300,4437.5,153,101,33,62271,514,25135,117073
RTX 4090,1,450,2125,224,137,44,84598,721,32910,161590
H100 80GB PCIe Gen5,1,350,30918,355,292,97,162431,1197,61491,262302
LambdaCloud H100 80GB PCIe Gen5,1,350,30918,351,266,89,154759,1182,60828,261960
H100 80GB SXM5,1,700,36718.75,524,408,141,220229,1753,80446,360558
LambdaCloud 2x V100 16GB,2,600,19875,202,77,19,33141,710,23885,83934
2x RTX 6000 Ada,2,600,15360,384,255,76,131039,1269,67084,280472
2x RTX A6000,2,600,8875,297,179,49,79794,995,39433,197866
2x RTX 3090,2,700,5500,281,154,38,63740,979,49756,172948
2x RTX 4090,2,900,4250,431,232,55,93923,1363,64678,262166
2x A100 80GB PCIe,2,600,26575,562,400,109,163112,1957,105932,371214
2x A100 80GB SXM4,2,800,32500,588,411,105,157169,2029,99409,356676
2x H100 80GB PCIe Gen5,2,700,61836,707,564,185,310658,2373,89065,495268
2x H100 80GB SXM5,2,1400,73437.5,1042,785,272,422976,3477,104714,679331
LambdaCloud 4xV100 16GB,4,1200,39750,403,153,38,62534,1422,41341,164053
4x RTX 6000 Ada,4,1200,30720,808,513,159,310297,2559,11570,370846
4x A100 80GB SXM4,4,1600,65000,1173,821,224,329466,4042,175445,747890
4x H100 80GB PCIe Gen5,4,1400,123672,1414,1091,355,584105,4719,163960,1023059
4x H100 80GB SXM5,4,2800,146875,2084,1550,520,849164,6930,195493,1439572
LambdaCloud 8xV100 16GB,8,2400,79500,801,289,70,111285,2817,82675,320609
8x RTX 6000 Ada,8,2400,61440,1574,1039,311,586092,5126,142819,1104372
8x A100 80GB SXM4,8,3200,130000,2218,1362,251,403429,7397,179436,1165034
8x H100 80GB PCIe Gen5,8,2800,247344,2815,2253,712,1207432,9397,146262,2063934
8x H100 80GB SXM5,8,5600,293750,4159,3133,1042,1655944,13856,123030,2678054
LambdaCloud 8x H100 80GB SXM5,8,5600,293750,4649,3072,965,1764840,14897,281791,3235975
LambdaCloud 1x H100 80GB PCIe 24.03,1,350,30918,386,302,100,165405,1248,53989,299807
LambdaCloud 1x H100 80GB SXM5 24.03,1,700,36718.75,585,432,145,247187,1895,84736,456305
LambdaCloud 2x H100 80GB SXM5 24.03,2,1400,73437.5,1164,846,280,484256,3745,162812,884364
LambdaCloud 4x H100 80GB SXM5 24.03,4,2800,146875,2328,1726,576,962803,7493,340510,1777900
LambdaCloud 8x H100 80GB SXM5 24.03,8,5600,293750,4632,3193,1067,1981346,14969,538636,3502767
